Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-1.5926152029222E-05,-0.0109088236768348,0.0307895147236118,0,0,0,0.257107874090604,0.00015330486719807,-8.75737516363516E-09,2.46536502904252E-08,6.03822423741166E-05,-8.01497858060152E-06,0.00016352659095363,0,0,0,0,0,0,package://wheel_leg_correct/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://wheel_leg_correct/meshes/base_link.STL,,Base_link-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
thigh_front_L,0.0357180653377639,0.0127711852777255,-0.00124102301683496,0,0,0,0.00899415738745603,6.02734707896142E-07,-9.33899575867267E-07,2.02407611479121E-09,2.88071624732825E-06,7.23760506581532E-10,3.35085357809018E-06,0,0,0,0,0,0,package://wheel_leg_correct/meshes/thigh_front_L.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://wheel_leg_correct/meshes/thigh_front_L.STL,,Thigh_Front_L^Model1-1,坐标系1,Axis_Hip_F_L,hip_front_L_joint,revolute,0.05745,-0.019622,0.010513,-1.5708,0.07747,-1.5708,base_link,0,0,1,20,20,-3.14,3.14,,,,,,,,
calf_front_L,0.0509566286826386,0.00279531831166513,0.00720470856079711,0,0,0,0.0100512879761871,5.19370422559841E-07,-4.92321911758408E-07,-2.72961268668614E-08,9.466920772695E-06,-1.50008636018705E-09,9.95833150978184E-06,0,0,0,0,0,0,package://wheel_leg_correct/meshes/calf_front_L.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://wheel_leg_correct/meshes/calf_front_L.STL,,Calf_Front_L^Model1-1,坐标系5,基准轴5,knee_front_L_joint,revolute,0.056497,0.020201,-0.00235,0,0,2.4451,thigh_front_L,0,0,-1,20,20,-3.14,3.14,,,,,,,,
wheel_L,-1.58375855170978E-05,1.00356590331113E-05,0.00665255193843409,0,0,0,0.069669449025636,2.32496372096732E-05,5.36179799449269E-08,-1.21843905360839E-08,2.33006649143816E-05,7.70585217264112E-09,4.15679675143328E-05,0,0,0,0,0,0,package://wheel_leg_correct/meshes/wheel_L.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://wheel_leg_correct/meshes/wheel_L.STL,,Wheel_L^Model1-1,坐标系9,基准轴9,ankle_L_joint,continuous,0.090115,0.0049435,0.016,0,0,0.61898,calf_front_L,0,0,1,,,,,,,,,,,,
thigh_rear_L,0.034327,-0.016142,-0.001241,0,0,0,0.0089942,8.0227E-07,1.1344E-06,1.9452E-09,2.6812E-06,-9.1478E-10,3.3509E-06,0,0,0,0,0,0,package://wheel_leg_correct/meshes/thigh_rear_L.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://wheel_leg_correct/meshes/thigh_rear_L.STL,,Thigh_Rear_L^Model1-1,坐标系2,基准轴2,hip_rear_L_joint,revolute,0.0534500000000013,0.0177650586418615,0.0134151105643477,1.5707963267949,-0.0774695596885131,1.5707963267949,base_link,0,0,1,20,20,-3.14,3.14,,,,,,,,
calf_rear_L,0.0531526881085074,-0.0029158814184815,0.0090850828482823,0,0,0,0.0109305034895619,5.72090057455469E-07,5.35787699997089E-07,8.85252179635803E-09,1.03095914276291E-05,-4.84487375220839E-10,1.08473001026206E-05,0,0,0,0,0,0,package://wheel_leg_correct/meshes/calf_rear_L.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://wheel_leg_correct/meshes/calf_rear_L.STL,,Calf_Rear_L^Model1-1,坐标系6,基准轴6,knee_rear_L_joint,revolute,0.054296,-0.025533,-0.00435,0,0,-2.517,thigh_rear_L,0,0,-1,20,20,-3.14,3.14,,,,,,,,
thigh_front_R,0.0357180653790256,-0.0127711852897369,-0.00124102301683492,0,0,0,0.00899415738745604,6.02734707913697E-07,9.338995758932E-07,2.02407840959217E-09,2.8807162473107E-06,-7.23761169352074E-10,3.35085357809019E-06,0,0,0,0,0,0,package://wheel_leg_correct/meshes/thigh_front_R.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://wheel_leg_correct/meshes/thigh_front_R.STL,,Thigh_Front_R^Model1-1,坐标系3,基准轴3,hip_front_R_joint,revolute,-0.05745,-0.019622,0.010513,1.5708,0.07747,-1.5708,base_link,0,0,1,20,20,-3.14,3.14,,,,,,,,
calf_front_R,0.050957,-0.0027955,0.0092047,0,0,0,0.010051,5.1937E-07,4.9232E-07,-2.7291E-08,9.4669E-06,1.4974E-09,9.9583E-06,0,0,0,0,0,0,package://wheel_leg_correct/meshes/calf_front_R.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://wheel_leg_correct/meshes/calf_front_R.STL,,Calf_Front_R^Model1-1,坐标系7,基准轴7,knee_front_R_joint,revolute,0.056497,-0.020201,-0.00435,0,0,-2.4451,thigh_front_R,0,0,-1,20,20,-3.14,3.14,,,,,,,,
wheel_R,-1.58098813599523E-05,-1.0028024284979E-05,0.00665255186634812,0,0,0,0.069669449025636,2.32496896323803E-05,-5.37207902581839E-08,-1.21969212006706E-08,2.33006124916745E-05,-7.70921853874275E-09,4.15679675143329E-05,0,0,0,0,0,0,package://wheel_leg_correct/meshes/wheel_R.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://wheel_leg_correct/meshes/wheel_R.STL,,Wheel_R^Model1-1,坐标系10,基准轴10,ankle_R_joint,continuous,0.090115,-0.0049435,0.018,0,0,-0.61898,calf_front_R,0,0,1,,,,,,,,,,,,
thigh_rear_R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,package://wheel_leg_correct/meshes/thigh_rear_R.STL,1,1,1,1,0,0,0,0,0,0,package://wheel_leg_correct/meshes/thigh_rear_R.STL,,Thigh_Rear_R^Model1-1,坐标系4,基准轴4,hip_rear_R_joint,revolute,-0.0534499999999989,0.01776505864177,0.0134151105643781,-1.5707963267949,-0.0774695596885131,1.5707963267949,base_link,0,0,1,20,20,-3.14,3.14,,,,,,,,
