run,stage,global_step,plot_value,tag,label
cmd_flat_v1.2,平地基础,459.5,-0.0009702891354009885,Episode_Reward/action_rate_l2,动作变化惩罚
robust_v2_finetune,DR微调,1057.5,-0.0011135720258830118,Episode_Reward/action_rate_l2,动作变化惩罚
rough_light_v1,轻度崎岖,1428.5,-0.0008619115654078925,Episode_Reward/action_rate_l2,动作变化惩罚
rough_light_v1.1,崎岖强化,2215.5,-0.0015248484750144437,Episode_Reward/action_rate_l2,动作变化惩罚
slope_v1,连续坡地,2908.5,-0.001071941626564085,Episode_Reward/action_rate_l2,动作变化惩罚
mixed_v1,混合地形,3279.5,-0.0011742481384425844,Episode_Reward/action_rate_l2,动作变化惩罚
unstructured_v1,非结构地形,3751.0,-0.0015273043537454513,Episode_Reward/action_rate_l2,动作变化惩罚
cmd_flat_v1.2,平地基础,459.5,0.9962799763257952,Episode_Reward/alive,生存奖励
robust_v2_finetune,DR微调,1057.5,0.9307120257091981,Episode_Reward/alive,生存奖励
rough_light_v1,轻度崎岖,1428.5,0.9734447302201699,Episode_Reward/alive,生存奖励
rough_light_v1.1,崎岖强化,2215.5,0.846170860112646,Episode_Reward/alive,生存奖励
slope_v1,连续坡地,2908.5,0.9667292793591816,Episode_Reward/alive,生存奖励
mixed_v1,混合地形,3279.5,0.9627701243477308,Episode_Reward/alive,生存奖励
unstructured_v1,非结构地形,3751.0,0.8889914174467242,Episode_Reward/alive,生存奖励
cmd_flat_v1.2,平地基础,459.5,-0.011407275863326499,Episode_Reward/joint_vel_l2,关节速度惩罚
robust_v2_finetune,DR微调,1057.5,-0.008495564888460863,Episode_Reward/joint_vel_l2,关节速度惩罚
rough_light_v1,轻度崎岖,1428.5,-0.006699198356240764,Episode_Reward/joint_vel_l2,关节速度惩罚
rough_light_v1.1,崎岖强化,2215.5,-0.0074010005918668294,Episode_Reward/joint_vel_l2,关节速度惩罚
slope_v1,连续坡地,2908.5,-0.009110484183878376,Episode_Reward/joint_vel_l2,关节速度惩罚
mixed_v1,混合地形,3279.5,-0.009084959409445816,Episode_Reward/joint_vel_l2,关节速度惩罚
unstructured_v1,非结构地形,3751.0,-0.008726076800115256,Episode_Reward/joint_vel_l2,关节速度惩罚
cmd_flat_v1.2,平地基础,459.5,1.4976505590245346,Episode_Reward/track_ang_vel_z,角速度跟踪奖励
robust_v2_finetune,DR微调,1057.5,1.322719002203089,Episode_Reward/track_ang_vel_z,角速度跟踪奖励
rough_light_v1,轻度崎岖,1428.5,1.3735035651716696,Episode_Reward/track_ang_vel_z,角速度跟踪奖励
rough_light_v1.1,崎岖强化,2215.5,1.013876383675852,Episode_Reward/track_ang_vel_z,角速度跟踪奖励
slope_v1,连续坡地,2908.5,1.2268385513923021,Episode_Reward/track_ang_vel_z,角速度跟踪奖励
mixed_v1,混合地形,3279.5,1.1236507433748792,Episode_Reward/track_ang_vel_z,角速度跟踪奖励
unstructured_v1,非结构地形,3751.0,0.9683519287176159,Episode_Reward/track_ang_vel_z,角速度跟踪奖励
cmd_flat_v1.2,平地基础,459.5,3.651090385132941,Episode_Reward/track_lin_vel_xy,线速度跟踪奖励
robust_v2_finetune,DR微调,1057.5,3.3160351463170445,Episode_Reward/track_lin_vel_xy,线速度跟踪奖励
rough_light_v1,轻度崎岖,1428.5,3.4090808340050707,Episode_Reward/track_lin_vel_xy,线速度跟踪奖励
rough_light_v1.1,崎岖强化,2215.5,2.3392484958272264,Episode_Reward/track_lin_vel_xy,线速度跟踪奖励
slope_v1,连续坡地,2908.5,2.72939978407892,Episode_Reward/track_lin_vel_xy,线速度跟踪奖励
mixed_v1,混合地形,3279.5,2.363684358289872,Episode_Reward/track_lin_vel_xy,线速度跟踪奖励
unstructured_v1,非结构地形,3751.0,2.164804592148597,Episode_Reward/track_lin_vel_xy,线速度跟踪奖励
cmd_flat_v1.2,平地基础,459.5,-0.0007292540430448503,Episode_Reward/wheel_vel_l2_penalty,轮速惩罚
robust_v2_finetune,DR微调,1057.5,-0.00170446770918294,Episode_Reward/wheel_vel_l2_penalty,轮速惩罚
rough_light_v1,轻度崎岖,1428.5,-0.0008925359042443837,Episode_Reward/wheel_vel_l2_penalty,轮速惩罚
rough_light_v1.1,崎岖强化,2215.5,-0.0022094441417774536,Episode_Reward/wheel_vel_l2_penalty,轮速惩罚
