model_label,shift_set,survival_rate,mean_survival_time_s,mean_rmse_vy,mean_rmse_wz,mean_abs_pitch_deg,max_abs_pitch_deg,mean_abs_roll_deg,max_abs_roll_deg,num_trials
CMDFLAT,actuator_weak,0.0,0.284,0.3628217846155166,1.0603599742054939,5.324120807647705,7.020060896873474,3.5398687601089476,5.93914794921875,10
CMDFLAT,low_friction,1.0,2.0,0.12836693376302716,0.40010387301445005,0.49328370690345763,1.5936024069786072,5.056396579742431,7.451759338378906,10
CMDFLAT,mass_plus,0.0,0.5740000000000001,0.15481809526681897,1.0098726093769073,2.0427663564682006,4.50089168548584,1.1372901916503906,3.8466678619384767,10
CMDFLAT,nominal,1.0,2.0,0.14560992419719693,0.46302386820316316,0.7605697453022003,2.062533962726593,5.569029521942139,7.941327857971191,10
NoDR1298,actuator_weak,0.0,0.28200000000000003,0.32206105589866635,1.749194660782814,3.5710464000701903,6.87703001499176,3.2542822480201723,7.120140171051025,10
NoDR1298,low_friction,1.0,2.0,0.13635390549898144,0.4993316799402237,4.692127275466919,5.798462867736816,3.842057132720947,5.58159441947937,10
NoDR1298,mass_plus,0.0,0.45600000000000007,0.20816678851842876,1.223479026556015,3.45737681388855,5.654188871383667,2.162689757347107,5.918673777580262,10
NoDR1298,nominal,1.0,2.0,0.06984957996755833,0.38547894954681394,4.585029935836792,5.933769750595093,5.7516711235046385,7.032058382034302,10
DR,actuator_weak,0.0,0.354,0.25178602188825605,1.9128443390130996,5.177685856819153,7.8499040603637695,1.908773910999298,4.514395689964294,10
DR,low_friction,1.0,2.0,0.08103821128606793,0.38440968990325924,0.969347208738327,2.4648203372955324,5.904889011383057,8.28931212425232,10
DR,mass_plus,0.6,1.592,0.07874696422368284,0.5674562126398086,1.9431267619132995,4.649951910972595,2.1965341806411742,4.754381704330444,10
DR,nominal,1.0,2.0,0.09678569287061688,0.4037739783525467,1.8817567706108094,3.2758533239364622,6.305261468887329,8.47300386428833,10
