model_name,time_s,command_vy,command_wz,terminated,torque_ankle_L_joint,torque_ankle_R_joint
Ours,0.0,-1.0,0.0,0.0,6.756860733032227,-5.815124988555908
Ours,0.02,-1.0,0.0,0.0,4.464821815490723,-4.685552597045898
Ours,0.04,-1.0,0.0,0.0,4.1924309730529785,-5.642721176147461
Ours,0.06,-1.0,0.0,0.0,5.577553749084473,-3.4185233116149902
Ours,0.08,-1.0,0.0,0.0,2.9031035900115967,-2.8332526683807373
Ours,0.1,-1.0,0.0,0.0,5.711723327636719,-7.104052543640137
Ours,0.12,-1.0,0.0,0.0,3.9871182441711426,-5.14107608795166
Ours,0.14,-1.0,0.0,0.0,4.723924160003662,-4.926614761352539
Ours,0.16,-1.0,0.0,0.0,3.6588480472564697,-2.4775285720825195
Ours,0.18,-1.0,0.0,0.0,3.2226805686950684,-3.5884718894958496
Ours,0.2,-1.0,0.0,0.0,3.6112418174743652,-2.5207722187042236
Ours,0.22,-1.0,0.0,0.0,5.526914596557617,-4.68289041519165
Ours,0.24,-1.0,0.0,0.0,5.79290246963501,-6.4634504318237305
Ours,0.26,-1.0,0.0,0.0,4.1126909255981445,-3.3357532024383545
Ours,0.28,-1.0,0.0,0.0,7.002735137939453,-6.002653121948242
Ours,0.3,-1.0,0.0,0.0,4.940423965454102,-4.452339172363281
Ours,0.32,-1.0,0.0,0.0,4.619027137756348,-6.869307994842529
Ours,0.34,-1.0,0.0,0.0,4.632068634033203,-3.917769432067871
Ours,0.36,-1.0,0.0,0.0,5.303412914276123,-3.309006929397583
Ours,0.38,-1.0,0.0,0.0,4.455816745758057,-4.748382568359375
Ours,0.4,-1.0,0.0,0.0,3.7704434394836426,-8.19927978515625
Ours,0.42,-1.0,0.0,0.0,5.374627113342285,-6.367623329162598
Ours,0.44,-1.0,0.0,0.0,4.65323543548584,-4.9049973487854
Ours,0.46,-1.0,0.0,0.0,7.880364894866943,-6.972020149230957
Ours,0.48,-1.0,0.0,0.0,2.17830228805542,-3.316462755203247
Ours,0.5,-1.0,0.0,0.0,4.640752792358398,-3.9693078994750977
Ours,0.52,-1.0,0.0,0.0,5.069726943969727,-8.314903259277344
Ours,0.54,-1.0,0.0,0.0,4.381162643432617,-5.993117332458496
Ours,0.56,-1.0,0.0,0.0,5.5858049392700195,-5.66063117980957
Ours,0.58,-1.0,0.0,0.0,4.059042930603027,-4.8410773277282715
