model_name,time_s,command_vy,command_wz,terminated,torque_ankle_L_joint,torque_ankle_R_joint
Ours,0.0,-1.0,0.0,0.0,4.308140754699707,-5.57549524307251
Ours,0.02,-1.0,0.0,0.0,4.0920867919921875,-3.1694283485412598
Ours,0.04,-1.0,0.0,0.0,4.200284957885742,-8.683207511901855
Ours,0.06,-1.0,0.0,0.0,5.780249118804932,-2.3306570053100586
Ours,0.08,-1.0,0.0,0.0,3.8483097553253174,-3.1900863647460938
Ours,0.1,-1.0,0.0,0.0,5.304083824157715,-6.79488468170166
Ours,0.12,-1.0,0.0,0.0,5.299780368804932,-5.455268859863281
Ours,0.14,-1.0,0.0,0.0,4.6108832359313965,-8.217368125915527
Ours,0.16,-1.0,0.0,0.0,4.790838241577148,-5.179275035858154
Ours,0.18,-1.0,0.0,0.0,5.451852321624756,-4.611993312835693
Ours,0.2,-1.0,0.0,0.0,4.488809585571289,-3.9325194358825684
Ours,0.22,-1.0,0.0,0.0,5.627429962158203,-3.9233267307281494
Ours,0.24,-1.0,0.0,0.0,5.6238226890563965,-6.498464584350586
Ours,0.26,-1.0,0.0,0.0,6.685066223144531,-6.318270683288574
Ours,0.28,-1.0,0.0,0.0,2.3857526779174805,-0.7494716644287109
Ours,0.3,-1.0,0.0,0.0,2.5349316596984863,-8.030441284179688
Ours,0.32,-1.0,0.0,0.0,6.2581634521484375,-7.2284722328186035
Ours,0.34,-1.0,0.0,0.0,4.275483131408691,-9.878196716308594
Ours,0.36,-1.0,0.0,0.0,5.576358318328857,-8.683260917663574
Ours,0.38,-1.0,0.0,0.0,4.544735431671143,-4.490406513214111
Ours,0.4,-1.0,0.0,0.0,5.158434867858887,-5.752157688140869
Ours,0.42,-1.0,0.0,0.0,4.369638442993164,-4.725759506225586
Ours,0.44,-1.0,0.0,0.0,4.6279802322387695,-5.587340354919434
Ours,0.46,-1.0,0.0,0.0,4.069852352142334,-7.155024528503418
Ours,0.48,-1.0,0.0,0.0,4.693109035491943,-4.618172645568848
Ours,0.5,-1.0,0.0,0.0,4.425140380859375,-5.313194751739502
Ours,0.52,-1.0,0.0,0.0,6.376827239990234,-6.0294365882873535
Ours,0.54,-1.0,0.0,0.0,3.062366485595703,-2.8786609172821045
Ours,0.56,-1.0,0.0,0.0,7.046849250793457,-6.640666961669922
Ours,0.58,-1.0,0.0,0.0,4.794142246246338,-8.504660606384277
Ours,0.6,-1.0,0.0,0.0,3.886274814605713,-6.0031657218933105
Ours,0.62,-1.0,0.0,0.0,5.370112419128418,-7.199528217315674
Ours,0.64,-1.0,0.0,0.0,6.065047264099121,-6.036956310272217
Ours,0.66,-1.0,0.0,0.0,5.035063743591309,-5.062839031219482
Ours,0.68,-1.0,0.0,0.0,4.50193452835083,-7.996731281280518
Ours,0.7000000000000001,-1.0,0.0,0.0,7.022103309631348,-7.923193454742432
Ours,0.72,-1.0,0.0,0.0,3.936858654022217,-1.644789218902588
Ours,0.74,-1.0,0.0,0.0,6.681955337524414,-6.988141059875488
Ours,0.76,-1.0,0.0,0.0,5.233953952789307,-1.7041220664978027
Ours,0.78,-1.0,0.0,0.0,6.719825267791748,-9.435697555541992
Ours,0.8,-1.0,0.0,0.0,4.359013557434082,-5.161206245422363
Ours,0.8200000000000001,-1.0,0.0,0.0,5.901273250579834,-6.218100547790527
Ours,0.84,-1.0,0.0,0.0,6.128679275512695,-5.1993889808654785
Ours,0.86,-1.0,0.0,0.0,6.557386875152588,-5.609837532043457
Ours,0.88,-1.0,0.0,0.0,5.029534339904785,-3.8502838611602783
Ours,0.9,-1.0,0.0,0.0,3.4679837226867676,-2.445577621459961
Ours,0.92,-1.0,0.0,0.0,2.751840353012085,-3.4028501510620117
Ours,0.9400000000000001,-1.0,0.0,0.0,6.490238189697266,-5.229672431945801
Ours,0.96,-1.0,0.0,0.0,3.6368441581726074,-2.9141201972961426
Ours,0.98,-1.0,0.0,0.0,6.425057411193848,-7.044191837310791
Ours,1.0,-1.0,0.0,0.0,5.612966537475586,-6.270294189453125
Ours,1.02,-1.0,0.0,0.0,3.5431389808654785,-2.185276985168457
Ours,1.04,-1.0,0.0,0.0,0.6527740359306335,-0.7894082069396973
Ours,1.06,-1.0,0.0,0.0,1.9779584407806396,-2.143371820449829
Ours,1.08,-1.0,0.0,0.0,3.189537525177002,-2.9413673877716064
Ours,1.1,-1.0,0.0,0.0,1.7968453168869019,-1.8559784889221191
Ours,1.12,-1.0,0.0,0.0,2.8654911518096924,-2.4099678993225098
Ours,1.1400000000000001,-1.0,0.0,0.0,2.5239248275756836,-2.305635452270508
Ours,1.16,-1.0,0.0,0.0,3.4065661430358887,-3.0486960411071777
Ours,1.18,-1.0,0.0,0.0,2.312131643295288,-3.583334445953369
Ours,1.2,-1.0,0.0,0.0,3.673835039138794,-2.032681941986084
Ours,1.22,-1.0,0.0,0.0,7.509090900421143,-5.686310291290283
Ours,1.24,-1.0,0.0,0.0,3.20422625541687,-3.259337902069092
Ours,1.26,-1.0,0.0,0.0,4.771206378936768,-6.165718078613281
Ours,1.28,-1.0,0.0,0.0,3.396711587905884,-5.171145439147949
Ours,1.3,-1.0,0.0,0.0,4.261550426483154,-3.5626349449157715
Ours,1.32,-1.0,0.0,0.0,2.03920841217041,-3.3478569984436035
Ours,1.34,-1.0,0.0,0.0,4.962981224060059,-5.4138994216918945
Ours,1.36,-1.0,0.0,0.0,5.933640003204346,-7.009705543518066
Ours,1.3800000000000001,-1.0,0.0,0.0,4.799513816833496,-4.740767478942871
Ours,1.4000000000000001,-1.0,0.0,0.0,4.8877482414245605,-3.5988688468933105
Ours,1.42,-1.0,0.0,0.0,6.319028854370117,-5.308462619781494
Ours,1.44,-1.0,0.0,0.0,4.141472816467285,-5.214477062225342
Ours,1.46,-1.0,0.0,0.0,4.689001560211182,-4.133161544799805
Ours,1.48,-1.0,0.0,0.0,5.565001487731934,-2.5518112182617188
Ours,1.5,-1.0,0.0,0.0,5.549804210662842,-6.709967613220215
Ours,1.52,-1.0,0.0,0.0,5.428445816040039,-4.36610746383667
Ours,1.54,-1.0,0.0,0.0,4.748385429382324,-4.089836597442627
Ours,1.56,-1.0,0.0,0.0,5.496952056884766,-2.9478485584259033
Ours,1.58,-1.0,0.0,0.0,5.4228835105896,-5.728656768798828
Ours,1.6,-1.0,0.0,0.0,3.4202284812927246,-8.630439758300781
Ours,1.62,-1.0,0.0,0.0,4.518439769744873,-3.4740238189697266
Ours,1.6400000000000001,-1.0,0.0,0.0,3.596212148666382,-4.098348140716553
Ours,1.6600000000000001,-1.0,0.0,0.0,5.894471168518066,-8.535274505615234
Ours,1.68,-1.0,0.0,0.0,5.312644004821777,-2.6330924034118652
Ours,1.7,-1.0,0.0,0.0,6.896442413330078,-5.685649871826172
Ours,1.72,-1.0,0.0,0.0,3.872197151184082,-3.61598539352417
Ours,1.74,-1.0,0.0,0.0,5.309136390686035,-7.061619281768799
Ours,1.76,-1.0,0.0,0.0,4.370330333709717,-7.9903364181518555
Ours,1.78,-1.0,0.0,0.0,9.01633071899414,-7.627359390258789
