model_name,time_s,command_vy,command_wz,terminated,torque_ankle_L_joint,torque_ankle_R_joint
Ours,0.0,-1.0,0.0,0.0,7.765164375305176,-7.852108001708984
Ours,0.02,-1.0,0.0,0.0,4.83469295501709,-4.905704498291016
Ours,0.04,-1.0,0.0,0.0,6.255746841430664,-8.344907760620117
Ours,0.06,-1.0,0.0,0.0,3.556786060333252,-3.39033579826355
Ours,0.08,-1.0,0.0,0.0,4.871501922607422,-6.168957233428955
Ours,0.1,-1.0,0.0,0.0,4.720961093902588,-5.59154748916626
Ours,0.12,-1.0,0.0,0.0,4.604492664337158,-6.120665550231934
Ours,0.14,-1.0,0.0,0.0,6.7849884033203125,-6.511991500854492
Ours,0.16,-1.0,0.0,0.0,3.494603157043457,-2.095424175262451
Ours,0.18,-1.0,0.0,0.0,5.380284309387207,-4.780896186828613
Ours,0.2,-1.0,0.0,0.0,5.972858905792236,-5.099761962890625
Ours,0.22,-1.0,0.0,0.0,5.872191429138184,-6.3768181800842285
Ours,0.24,-1.0,0.0,0.0,3.7867698669433594,-2.6712727546691895
Ours,0.26,-1.0,0.0,0.0,4.587291717529297,-5.6611127853393555
Ours,0.28,-1.0,0.0,0.0,4.311868667602539,-5.100712776184082
Ours,0.3,-1.0,0.0,0.0,4.299897193908691,-4.653079509735107
Ours,0.32,-1.0,0.0,0.0,4.603529453277588,-3.2526559829711914
Ours,0.34,-1.0,0.0,0.0,6.685016632080078,-8.159529685974121
Ours,0.36,-1.0,0.0,0.0,6.219331741333008,-5.704419136047363
Ours,0.38,-1.0,0.0,0.0,4.980950355529785,-5.407787322998047
Ours,0.4,-1.0,0.0,0.0,5.534456729888916,-4.67254114151001
Ours,0.42,-1.0,0.0,0.0,3.860836982727051,-4.825661659240723
Ours,0.44,-1.0,0.0,0.0,3.736677885055542,-4.917895317077637
Ours,0.46,-1.0,0.0,0.0,4.825980186462402,-2.7843241691589355
Ours,0.48,-1.0,0.0,0.0,4.198340892791748,-3.7279763221740723
Ours,0.5,-1.0,0.0,0.0,3.829464912414551,-4.509196758270264
Ours,0.52,-1.0,0.0,0.0,6.2807393074035645,-6.687124252319336
Ours,0.54,-1.0,0.0,0.0,1.0640678405761719,-6.120068073272705
Ours,0.56,-1.0,0.0,0.0,4.77449369430542,-5.52506160736084
Ours,0.58,-1.0,0.0,0.0,3.7048933506011963,-3.236112117767334
Ours,0.6,-1.0,0.0,0.0,5.231084823608398,-5.589022636413574
Ours,0.62,-1.0,0.0,0.0,4.611957550048828,-8.426188468933105
Ours,0.64,-1.0,0.0,0.0,3.5621819496154785,-5.722488880157471
Ours,0.66,-1.0,0.0,0.0,4.572041034698486,-5.5180559158325195
Ours,0.68,-1.0,0.0,0.0,4.056276798248291,-5.132168769836426
Ours,0.7000000000000001,-1.0,0.0,0.0,3.7718939781188965,-3.1171629428863525
Ours,0.72,-1.0,0.0,0.0,4.5119404792785645,-4.723055839538574
Ours,0.74,-1.0,0.0,0.0,5.293285369873047,-5.585092067718506
Ours,0.76,-1.0,0.0,0.0,2.866579055786133,-2.9313735961914062
Ours,0.78,-1.0,0.0,0.0,3.862055778503418,-2.5665650367736816
Ours,0.8,-1.0,0.0,0.0,4.596063613891602,-4.04593563079834
Ours,0.8200000000000001,-1.0,0.0,0.0,3.631162643432617,-5.560159683227539
Ours,0.84,-1.0,0.0,0.0,3.8309428691864014,-7.285219192504883
Ours,0.86,-1.0,0.0,0.0,4.0702948570251465,-3.769596815109253
Ours,0.88,-1.0,0.0,0.0,4.9430251121521,-4.931010723114014
