model_name,shift_set,trial_idx,command_vy,command_wz,survived,survival_steps,survival_time_s,termination_reason,rmse_vy,rmse_wz,mean_abs_pitch_deg,max_abs_pitch_deg,mean_abs_roll_deg,max_abs_roll_deg
nodr,nominal,0.0,-0.6,0.0,1.0,100.0,2.0,time_window_complete,0.0275218915194273,0.4397153854370117,4.627403259277344,6.3269243240356445,5.5769877433776855,6.891327381134033
nodr,nominal,1.0,-0.6,0.0,1.0,100.0,2.0,time_window_complete,0.056074440479278564,0.3591161370277405,4.616021633148193,5.865988731384277,5.656190395355225,7.08748722076416
nodr,nominal,2.0,-0.6,0.0,1.0,100.0,2.0,time_window_complete,0.05603857710957527,0.40372568368911743,4.382784843444824,6.236695289611816,5.769943714141846,6.868163585662842
nodr,nominal,3.0,-0.6,0.0,1.0,100.0,2.0,time_window_complete,0.04675804823637009,0.4457036554813385,5.1209869384765625,6.622078895568848,5.315053939819336,6.864797592163086
nodr,nominal,4.0,-0.6,0.0,1.0,100.0,2.0,time_window_complete,0.09053623676300049,0.36270037293434143,4.481857776641846,5.730237007141113,5.934247970581055,7.046289443969727
nodr,nominal,5.0,-0.6,0.0,1.0,100.0,2.0,time_window_complete,0.0649404376745224,0.3670363426208496,4.470118999481201,5.879800319671631,5.759976387023926,7.190286159515381
nodr,nominal,6.0,-0.6,0.0,1.0,100.0,2.0,time_window_complete,0.08826979249715805,0.39503106474876404,4.525446891784668,5.58193302154541,5.867000579833984,7.2289862632751465
nodr,nominal,7.0,-0.6,0.0,1.0,100.0,2.0,time_window_complete,0.08390239626169205,0.36625930666923523,4.548995494842529,5.877735614776611,5.801793098449707,7.197310447692871
nodr,nominal,8.0,-0.6,0.0,1.0,100.0,2.0,time_window_complete,0.08642330765724182,0.36938706040382385,4.488253593444824,5.585165023803711,5.8760809898376465,6.788341999053955
nodr,nominal,9.0,-0.6,0.0,1.0,100.0,2.0,time_window_complete,0.09803067147731781,0.34611448645591736,4.588429927825928,5.631139278411865,5.959436416625977,7.157593727111816
nodr,low_friction,0.0,-0.6,0.0,1.0,100.0,2.0,time_window_complete,0.08509746938943863,0.42499402165412903,5.419381618499756,6.3149518966674805,4.7095465660095215,6.4941840171813965
nodr,low_friction,1.0,-0.6,0.0,1.0,100.0,2.0,time_window_complete,0.04633138328790665,0.4955236613750458,4.626362323760986,5.802907466888428,5.105271339416504,7.024476528167725
nodr,low_friction,2.0,-0.6,0.0,1.0,100.0,2.0,time_window_complete,0.07904410362243652,0.4709104299545288,5.5690999031066895,6.875233173370361,4.596070766448975,5.958844184875488
nodr,low_friction,3.0,-0.6,0.0,1.0,100.0,2.0,time_window_complete,0.07196350395679474,0.4198057949542999,5.089000225067139,6.532360553741455,4.81483268737793,6.3957390785217285
nodr,low_friction,4.0,-0.6,0.0,1.0,100.0,2.0,time_window_complete,0.07329604029655457,0.43896037340164185,5.234724521636963,5.885865688323975,4.795010566711426,6.467154026031494
nodr,low_friction,5.0,-0.6,0.0,1.0,100.0,2.0,time_window_complete,0.088664710521698,0.4299086630344391,5.361212730407715,6.262083053588867,4.618363857269287,5.916312217712402
nodr,low_friction,6.0,-0.6,0.0,1.0,100.0,2.0,time_window_complete,0.08742737025022507,0.4191414415836334,5.457664966583252,6.600831031799316,4.664057731628418,5.710362434387207
nodr,low_friction,7.0,-0.6,0.0,1.0,100.0,2.0,time_window_complete,0.06151995435357094,0.45678022503852844,4.882707118988037,6.144351959228516,4.919599533081055,6.155124664306641
nodr,low_friction,8.0,-0.6,0.0,1.0,100.0,2.0,time_window_complete,0.08849644660949707,0.4376429319381714,5.444868564605713,6.307068347930908,4.499655246734619,6.113717555999756
nodr,low_friction,9.0,-0.6,0.0,1.0,100.0,2.0,time_window_complete,0.083212710916996,0.45719653367996216,5.392634868621826,6.317939281463623,4.603094100952148,6.216673374176025
nodr,mass_plus,0.0,-0.6,0.0,1.0,100.0,2.0,time_window_complete,0.03205232322216034,0.7181341648101807,3.099245071411133,4.701030731201172,4.533009052276611,6.491545677185059
