model_name,shift_set,trial_idx,time_s,pitch_deg,pitch_rate_rad_s,roll_deg,roll_rate_rad_s
DR,low_friction,0.0,0.0,-2.7346742153167725,-0.2711855173110962,-4.703690528869629,7.580776214599609
DR,low_friction,0.0,0.02,-2.5423901081085205,0.47763776779174805,-5.691891670227051,9.945876121520996
DR,low_friction,0.0,0.04,-2.3733792304992676,-0.4003455638885498,-6.862954616546631,8.616838455200195
DR,low_friction,0.0,0.06,-2.278069496154785,0.11341166496276855,-6.730639457702637,7.863936424255371
DR,low_friction,0.0,0.08,-2.86344838142395,-1.0130633115768433,-6.124712944030762,7.575716972351074
DR,low_friction,0.0,0.1,-2.5530145168304443,1.0434072017669678,-5.019880294799805,7.57451057434082
DR,low_friction,0.0,0.12,-1.821160078048706,0.1857144832611084,-6.332090377807617,10.1678466796875
DR,low_friction,0.0,0.14,-1.8204575777053833,0.53424072265625,-5.805988311767578,8.392599105834961
DR,low_friction,0.0,0.16,-1.6882659196853638,0.06676363945007324,-7.424196243286133,9.98132038116455
DR,low_friction,0.0,0.18,-1.1356433629989624,-0.5112214088439941,-5.348923683166504,9.788625717163086
DR,low_friction,0.0,0.2,-1.3409347534179688,-0.84776771068573,-5.2974629402160645,7.931722640991211
DR,low_friction,0.0,0.22,-1.5106475353240967,-0.8913644552230835,-5.372888088226318,7.895415306091309
DR,low_friction,0.0,0.24,-1.493157982826233,-0.6671011447906494,-4.534849166870117,7.77385139465332
DR,low_friction,0.0,0.26,-1.780070185661316,0.4404177665710449,-5.868946075439453,7.881860733032227
DR,low_friction,0.0,0.28,-1.6585348844528198,0.25060176849365234,-8.00428295135498,10.334750175476074
DR,low_friction,0.0,0.3,-1.3319741487503052,0.13446521759033203,-8.574259757995605,9.568731307983398
DR,low_friction,0.0,0.32,-1.2246074676513672,0.15942740440368652,-6.703813552856445,6.950052261352539
DR,low_friction,0.0,0.34,-1.5437679290771484,-0.06937956809997559,-4.836264133453369,7.762787342071533
DR,low_friction,0.0,0.36,-1.6727535724639893,0.5160138607025146,-4.903117656707764,7.732287406921387
DR,low_friction,0.0,0.38,-1.0632673501968384,0.4289822578430176,-6.46299934387207,7.143651962280273
DR,low_friction,0.0,0.4,-1.0951727628707886,-0.01805734634399414,-5.8400115966796875,8.320688247680664
DR,low_friction,0.0,0.42,-0.9637484550476074,0.3950028419494629,-6.664300441741943,7.915705680847168
DR,low_friction,0.0,0.44,-1.1734830141067505,-0.2114238739013672,-7.31889009475708,8.606049537658691
DR,low_friction,0.0,0.46,-0.44866594672203064,1.258321762084961,-8.165907859802246,8.501805305480957
DR,low_friction,0.0,0.48,-0.44963183999061584,-0.7084331512451172,-6.033326625823975,8.165604591369629
DR,low_friction,0.0,0.5,-0.5222151279449463,-0.7438187599182129,-3.690826892852783,9.635584831237793
DR,low_friction,0.0,0.52,-0.6513103246688843,0.44342994689941406,-5.994592189788818,8.190994262695312
DR,low_friction,0.0,0.54,-0.40987855195999146,-0.29561805725097656,-7.102090835571289,8.263540267944336
DR,low_friction,0.0,0.56,-0.4343187212944031,-0.4771444797515869,-7.317753791809082,6.440016746520996
DR,low_friction,0.0,0.58,-1.6357742547988892,-1.0137529373168945,-7.213252544403076,8.486093521118164
DR,low_friction,0.0,0.6,-1.952152132987976,0.17276668548583984,-6.10076379776001,9.416059494018555
DR,low_friction,0.0,0.62,-1.5775532722473145,0.5037937164306641,-6.958765983581543,6.911718368530273
DR,low_friction,0.0,0.64,-1.2540110349655151,-0.33415985107421875,-6.848665714263916,7.387599945068359
DR,low_friction,0.0,0.66,-1.4248905181884766,-0.06447935104370117,-5.129103660583496,8.701210021972656
DR,low_friction,0.0,0.68,-1.915055751800537,-1.210580825805664,-5.742223262786865,9.186660766601562
DR,low_friction,0.0,0.7000000000000001,-1.8062875270843506,-0.37439918518066406,-4.383820533752441,8.316203117370605
DR,low_friction,0.0,0.72,-1.7870153188705444,-0.12161779403686523,-3.9741175174713135,8.885215759277344
DR,low_friction,0.0,0.74,-1.6465342044830322,-0.07479095458984375,-5.530277252197266,8.621492385864258
DR,low_friction,0.0,0.76,-1.4547412395477295,0.3271064758300781,-7.804666042327881,10.159662246704102
DR,low_friction,0.0,0.78,-1.265903115272522,-1.322436809539795,-7.520713806152344,9.133037567138672
DR,low_friction,0.0,0.8,-1.643066167831421,0.01830148696899414,-4.456698417663574,8.853901863098145
DR,low_friction,0.0,0.8200000000000001,-1.194520354270935,0.4594097137451172,-7.018728733062744,10.733377456665039
DR,low_friction,0.0,0.84,-1.212457299232483,-0.29410457611083984,-7.045739650726318,8.692140579223633
DR,low_friction,0.0,0.86,-0.9069210886955261,0.5555086135864258,-7.000306129455566,6.47028923034668
DR,low_friction,0.0,0.88,-0.7865968346595764,0.1638021469116211,-7.0590362548828125,7.185829162597656
DR,low_friction,0.0,0.9,-0.6577854752540588,-0.6442961692810059,-6.229781627655029,9.138446807861328
DR,low_friction,0.0,0.92,-0.5336381793022156,0.035010337829589844,-3.978473424911499,7.1993818283081055
DR,low_friction,0.0,0.9400000000000001,-1.3556241989135742,-1.1624116897583008,-4.56472635269165,7.004129409790039
DR,low_friction,0.0,0.96,-1.5050480365753174,0.4224977493286133,-4.240597724914551,9.375529289245605
DR,low_friction,0.0,0.98,-1.1040008068084717,-0.6917243003845215,-7.376836776733398,9.084994316101074
DR,low_friction,0.0,1.0,-1.1484503746032715,-0.5373854637145996,-5.674879550933838,8.293128967285156
DR,low_friction,0.0,1.02,-1.725974202156067,-0.0070343017578125,-7.017845630645752,6.657419681549072
DR,low_friction,0.0,1.04,-2.5441222190856934,-0.7086615562438965,-5.155681610107422,7.252427577972412
DR,low_friction,0.0,1.06,-3.0079030990600586,-0.6374578475952148,-4.586507320404053,6.104918003082275
DR,low_friction,0.0,1.08,-2.255960702896118,0.30849647521972656,-5.122390270233154,7.642744541168213
DR,low_friction,0.0,1.1,-1.461348056793213,0.39754676818847656,-5.042449474334717,10.061087608337402
DR,low_friction,0.0,1.12,-1.1834180355072021,-0.05904388427734375,-5.618398189544678,8.490431785583496
DR,low_friction,0.0,1.1400000000000001,-1.1938444375991821,-0.2466878890991211,-6.616326332092285,5.860591411590576
DR,low_friction,0.0,1.16,-1.8351352214813232,0.018895626068115234,-4.683868885040283,6.938692092895508
DR,low_friction,0.0,1.18,-1.4207637310028076,0.5556812286376953,-5.963781833648682,8.285951614379883
DR,low_friction,0.0,1.2,-1.426579236984253,0.32408714294433594,-7.175760746002197,8.763734817504883
DR,low_friction,0.0,1.22,-1.3933922052383423,0.15452194213867188,-5.809566974639893,8.304511070251465
DR,low_friction,0.0,1.24,-1.5622837543487549,-0.2779254913330078,-5.160439491271973,7.491202354431152
DR,low_friction,0.0,1.26,-1.8274651765823364,-0.8295249938964844,-5.870059967041016,9.141828536987305
DR,low_friction,0.0,1.28,-1.5489392280578613,-0.038643836975097656,-5.103019714355469,6.133205413818359
DR,low_friction,0.0,1.3,-1.9218404293060303,-0.45368337631225586,-3.5845062732696533,7.241836071014404
DR,low_friction,0.0,1.32,-1.9015246629714966,0.5019807815551758,-4.808891296386719,8.706274032592773
DR,low_friction,0.0,1.34,-1.1150327920913696,1.1233434677124023,-7.903404235839844,7.580461502075195
